#Data tag : 23v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
359571:8210,1:1,09/29/22 17:29:19,STABLE BEAMS,6800,16083.678722247,16049.846084994,35.1,HFET
359571:8210,2:2,09/29/22 17:29:43,STABLE BEAMS,6800,16080.117528888,16059.780021915,35.1,HFET
359571:8210,3:3,09/29/22 17:30:06,STABLE BEAMS,6800,16078.982749283,16058.411117704,35.0,HFET
359571:8210,4:4,09/29/22 17:30:29,STABLE BEAMS,6800,16076.093889069,16055.321942915,35.0,HFET
359571:8210,7:7,09/29/22 17:31:39,STABLE BEAMS,6800,16069.101222372,8566.313486803,35.0,HFET
359571:8210,8:8,09/29/22 17:32:03,STABLE BEAMS,6800,16069.304151486,16040.088824714,35.0,HFET
359571:8210,9:9,09/29/22 17:32:26,STABLE BEAMS,6800,16067.829610563,16038.581385153,35.0,HFET
359571:8210,10:10,09/29/22 17:32:49,STABLE BEAMS,6800,16065.813693418,16036.655083734,35.0,HFET
359571:8210,11:11,09/29/22 17:33:12,STABLE BEAMS,6800,16064.940750349,16035.803481836,35.0,HFET
359571:8210,12:12,09/29/22 17:33:36,STABLE BEAMS,6800,16063.704544840,16034.624464677,35.0,HFET
359571:8210,13:13,09/29/22 17:33:59,STABLE BEAMS,6800,16064.216544658,16034.613255727,35.0,HFET
359571:8210,14:14,09/29/22 17:34:22,STABLE BEAMS,6800,16060.552688494,15801.965964824,35.0,HFET
359571:8210,15:15,09/29/22 17:34:46,STABLE BEAMS,6800,16057.341770113,16028.478175614,35.0,HFET
359571:8210,16:16,09/29/22 17:35:09,STABLE BEAMS,6800,16054.264205149,16025.297279351,35.0,HFET
359571:8210,18:18,09/29/22 17:36:00,STABLE BEAMS,6800,16052.700066191,13558.489480154,35.0,HFET
359571:8210,19:19,09/29/22 17:36:19,STABLE BEAMS,6800,16051.761103517,16022.325305673,35.0,HFET
359571:8210,20:20,09/29/22 17:36:42,STABLE BEAMS,6800,16050.540204661,16021.175074938,35.0,HFET
359571:8210,21:21,09/29/22 17:37:06,STABLE BEAMS,6800,16048.944215496,16019.245257445,35.0,HFET
359571:8210,22:22,09/29/22 17:37:29,STABLE BEAMS,6800,16041.577618085,16011.107262850,35.0,HFET
359571:8210,23:23,09/29/22 17:37:52,STABLE BEAMS,6800,16035.398832421,16005.780080873,35.0,HFET
359571:8210,24:24,09/29/22 17:38:15,STABLE BEAMS,6800,16032.782477017,16003.343940228,34.9,HFET
359571:8210,25:25,09/29/22 17:38:39,STABLE BEAMS,6800,16028.473422230,15999.597344048,34.9,HFET
359571:8210,26:26,09/29/22 17:39:02,STABLE BEAMS,6800,16025.484295707,15996.219443457,34.9,HFET
359571:8210,27:27,09/29/22 17:39:25,STABLE BEAMS,6800,16022.179063604,15993.022900005,34.9,HFET
359571:8210,28:28,09/29/22 17:39:49,STABLE BEAMS,6800,16018.406669354,15989.443974229,34.9,HFET
359571:8210,30:30,09/29/22 17:40:35,STABLE BEAMS,6800,16016.564150305,15987.453204252,34.9,HFET
359571:8210,31:31,09/29/22 17:40:59,STABLE BEAMS,6800,16014.595390021,15985.092328225,34.9,HFET
359571:8210,32:32,09/29/22 17:41:22,STABLE BEAMS,6800,16010.937486444,15981.555727323,34.9,HFET
359571:8210,33:33,09/29/22 17:41:45,STABLE BEAMS,6800,16008.416681663,15979.368524969,34.9,HFET
359571:8210,34:34,09/29/22 17:42:09,STABLE BEAMS,6800,16006.444365287,15976.582489137,34.9,HFET
359571:8210,35:35,09/29/22 17:42:32,STABLE BEAMS,6800,16006.752276396,15977.584494361,34.9,HFET
359571:8210,36:36,09/29/22 17:42:55,STABLE BEAMS,6800,16004.344648081,15975.240939391,34.9,HFET
359571:8210,37:37,09/29/22 17:43:18,STABLE BEAMS,6800,16003.620442390,15974.978157307,34.9,HFET
359571:8210,38:38,09/29/22 17:43:42,STABLE BEAMS,6800,16005.985474918,15977.252865012,34.9,HFET
359571:8210,39:39,09/29/22 17:44:05,STABLE BEAMS,6800,16004.449630076,15975.440244915,34.9,HFET
359571:8210,41:41,09/29/22 17:44:52,STABLE BEAMS,6800,16004.534589732,15975.124226288,34.9,HFET
359571:8210,42:42,09/29/22 17:45:15,STABLE BEAMS,6800,16001.992525711,15972.605087905,34.9,HFET
359571:8210,43:43,09/29/22 17:45:38,STABLE BEAMS,6800,16000.887277123,15971.346599681,34.9,HFET
359571:8210,44:44,09/29/22 17:46:02,STABLE BEAMS,6800,15998.403038235,15968.786446086,34.9,HFET
359571:8210,45:45,09/29/22 17:46:25,STABLE BEAMS,6800,15985.231585874,15955.782039282,34.8,HFET
359571:8210,46:46,09/29/22 17:46:48,STABLE BEAMS,6800,15984.394126411,15954.862906473,34.8,HFET
359571:8210,47:47,09/29/22 17:47:12,STABLE BEAMS,6800,15987.227480680,15957.770685510,34.8,HFET
359571:8210,48:48,09/29/22 17:47:35,STABLE BEAMS,6800,15989.459314403,15960.412068096,34.9,HFET
359571:8210,49:49,09/29/22 17:47:58,STABLE BEAMS,6800,15989.920523963,15960.630050194,34.9,HFET
359571:8210,50:50,09/29/22 17:48:22,STABLE BEAMS,6800,15988.180590413,15958.703392902,34.9,HFET
359571:8210,52:52,09/29/22 17:49:08,STABLE BEAMS,6800,15987.022232377,15957.702189955,34.8,HFET
359571:8210,53:53,09/29/22 17:49:31,STABLE BEAMS,6800,15985.958265368,15956.753426134,34.8,HFET
359571:8210,54:54,09/29/22 17:49:55,STABLE BEAMS,6800,15986.536207485,15957.216127771,34.8,HFET
359571:8210,55:55,09/29/22 17:50:18,STABLE BEAMS,6800,15984.882470492,15925.164020729,34.8,HFET
359571:8210,56:56,09/29/22 17:50:41,STABLE BEAMS,6800,15984.818770077,15955.948687203,34.8,HFET
359571:8210,57:57,09/29/22 17:51:05,STABLE BEAMS,6800,15984.182925519,15955.313410495,34.8,HFET
359571:8210,58:58,09/29/22 17:51:28,STABLE BEAMS,6800,15985.526509520,15956.434111092,34.8,HFET
359571:8210,59:59,09/29/22 17:51:51,STABLE BEAMS,6800,15980.937837741,15952.094272765,34.8,HFET
359571:8210,60:60,09/29/22 17:52:15,STABLE BEAMS,6800,15980.130991583,15951.179009714,34.8,HFET
359571:8210,61:61,09/29/22 17:52:38,STABLE BEAMS,6800,15973.669187448,15945.020413039,34.8,HFET
359571:8210,63:63,09/29/22 17:53:24,STABLE BEAMS,6800,15966.744936853,15937.584044455,34.8,HFET
359571:8210,64:64,09/29/22 17:53:48,STABLE BEAMS,6800,15961.827172030,15932.515324012,34.8,HFET
359571:8210,65:65,09/29/22 17:54:11,STABLE BEAMS,6800,15956.750156169,15927.430877649,34.8,HFET
359571:8210,66:66,09/29/22 17:54:34,STABLE BEAMS,6800,15951.565761817,15922.095974175,34.8,HFET
359571:8210,67:67,09/29/22 17:54:58,STABLE BEAMS,6800,15948.554293765,15919.788094355,34.8,HFET
359571:8210,68:68,09/29/22 17:55:21,STABLE BEAMS,6800,15945.783403009,15917.066547439,34.8,HFET
359571:8210,69:69,09/29/22 17:55:44,STABLE BEAMS,6800,15941.756207098,15912.911946187,34.8,HFET
359571:8210,70:70,09/29/22 17:56:08,STABLE BEAMS,6800,15939.602298156,15910.805918164,34.7,HFET
359571:8210,71:71,09/29/22 17:56:31,STABLE BEAMS,6800,15942.833238876,15913.390994775,34.8,HFET
359571:8210,72:72,09/29/22 17:56:54,STABLE BEAMS,6800,15944.509394705,15915.431689330,34.8,HFET
359571:8210,74:74,09/29/22 17:57:41,STABLE BEAMS,6800,15941.348106987,15912.616739030,34.7,HFET
359571:8210,75:75,09/29/22 17:58:04,STABLE BEAMS,6800,15942.775413742,15913.916567420,34.8,HFET
359571:8210,76:76,09/29/22 17:58:28,STABLE BEAMS,6800,15942.074709175,15913.249190108,34.8,HFET
